X,Y,ID
173327,36550,E01018921
174094,24647,E01018902
174841,41107,E01018829
174938,44756,E01018820
175499,53917,E01018842
175787,54188,E01018844
175959,225740,W01000612
176045,52082,E01018843
176170,37315,E01018901
176177,33938,E01018899
177212,39499,E01018830
177256,28547,E01018879
177599,34328,E01018834
177801,34812,E01018835
177889,44752,E01018819
178077,31819,E01018900
178265,58229,E01018832
178269,20459,E01018920
178324,34390,E01018836
178338,44853,E01018822
178483,53955,E01018833
178604,34549,E01018837
179072,60734,E01019031
179264,31751,E01018811
179315,40891,E01018817
179375,32456,E01018814
179504,33320,E01018860
179527,32859,E01018859
179595,31218,E01018813
179753,37109,E01018827
179760,31980,E01018812
179842,44753,E01018855
180027,33637,E01018841
180139,33177,E01018838
180270,61216,E01019030
180344,32320,E01018806
180358,32718,E01018840
180432,47599,E01018821
180468,33272,E01018839
180582,41027,E01018818
180626,61644,E01019028
180631,44847,E01018856
180727,35102,E01018828
180764,32082,E01018805
180769,32577,E01018804
180941,61670,E01019029
181196,61144,E01019022
181383,45194,E01018857
181386,32128,E01018803
181606,61596,E01019020
181684,44846,E01018810
181769,38980,E01018816
181830,60852,E01019021
182034,44409,E01018808
182146,45501,E01018858
182228,60603,E01019023
182279,224882,W01000618
182329,61806,E01019019
182455,44888,E01018809
182551,44244,E01018807
182642,61200,E01019018
182894,56522,E01018831
183033,62654,E01019048
183040,45289,E01018823
183207,207587,W01000614
183339,45734,E01018824
183368,44379,E01018854
183590,45068,E01018853
183613,61704,E01019049
183717,62225,E01019051
183948,51171,E01018815
185122,231395,W01000581
185420,60520,E01019050
185989,34549,E01018849
186204,45329,E01018846
186571,212947,W01000622
187528,66136,E01019060
187755,73679,E01018955
187904,220094,W01000556
188179,69436,E01018954
188861,206117,W01000592
189297,206338,W01000591
189573,206009,W01000589
189609,205665,W01000590
189803,47734,E01018848
190263,57152,E01019063
190419,206439,W01000594
190595,75204,E01018957
190654,51143,E01018847
190827,205911,W01000587
191022,63465,E01019061
191077,63167,E01019062
191205,206872,W01000593
191302,206400,W01000588
191403,39918,E01018850
191413,60068,E01019064
191518,46035,E01018845
191539,59034,E01019065
191756,75132,E01018958
191912,218871,W01000555
192550,72411,E01018956
192903,210666,W01000575
193625,234890,W01000617
193905,227818,W01000579
193963,78082,E01018964
194171,215766,W01000570
194218,199466,W01000574
194225,215403,W01000571
194237,238056,W01000567
194257,53388,E01019072
194757,53123,E01019071
194903,216301,W01000569
194999,215004,W01000573
195045,214122,W01000586
195137,56181,E01019069
195206,215642,W01000568
195257,57774,E01019055
195297,76665,E01018963
195411,205607,W01000599
195512,236891,W01000566
195600,48351,E01019066
195771,57667,E01019054
195852,237081,W01000565
195880,216415,W01000572
196148,202758,W01000605
196343,205463,W01000598
196409,203244,W01000603
196582,54900,E01019070
196664,202521,W01000604
196713,203488,W01000600
196839,217330,W01000611
197230,203955,W01000602
197297,207661,W01000554
197506,201414,W01000606
197601,203252,W01000601
197947,210568,W01000580
198156,61221,E01019052
198431,201215,W01000608
198446,50501,E01019068
198598,201960,W01000607
198602,72248,E01018971
198932,52829,E01019073
199067,72033,E01018972
199349,201011,W01000609
199366,71250,E01018924
199558,72626,E01018970
199720,60083,E01019053
199795,72156,E01018973
200179,41903,E01019039
200401,52414,E01019032
200575,222128,W01000623
200742,49765,E01019067
200853,52920,E01019034
200939,52370,E01019033
200991,235143,W01000562
201044,78614,E01018962
201196,201422,W01000578
201398,45540,E01019040
201449,44600,E01019038
201484,58467,E01019076
201775,52788,E01019047
201980,52279,E01019041
202123,56103,E01019075
202243,52111,E01019043
202258,53610,E01019045
202312,53079,E01019046
202393,57177,E01019074
202400,65798,E01018945
202651,53328,E01019015
202804,52537,E01019042
203055,53680,E01019016
203134,53321,E01019014
203337,52698,E01019044
203548,53126,E01019013
204282,52269,E01019017
204951,58914,E01019036
205006,63957,E01018944
205090,213861,W01000585
205123,203808,W01000557
205507,238985,W01000597
205672,66745,E01018929
205897,74971,E01018923
205955,66166,E01018931
206103,53450,E01019059
206157,67214,E01018927
206201,66494,E01018930
206217,88316,E01018942
206462,81344,E01018940
206547,67038,E01018928
206647,54078,E01019056
206928,53539,E01019058
206966,54306,E01019057
