X,Y,AREACD
239533,116611,E01020309
239539,338147,W01000047
239824,62090,E01018764
239861,218952,W01000642
239988,220032,W01000643
240131,123798,E01020295
240552,220281,W01000645
240697,220805,W01000637
240762,71001,E01018753
240894,59460,E01018787
240901,206798,W01000670
241041,370682,W01000007
241066,59007,E01018796
241115,220525,W01000639
241411,58343,E01018795
241419,59289,E01018788
241461,207038,W01000671
241476,240951,W01000533
241502,58654,E01018794
241503,220283,W01000641
241650,384110,W01000028
241792,59205,E01018786
241882,219379,W01000693
241888,220802,W01000638
241994,215931,W01000722
242108,58821,E01018790
242190,59494,E01018792
242259,58477,E01018789
242287,219240,W01000694
242435,221280,W01000640
242507,55390,E01033294
242518,257465,W01000529
242519,52297,E01018780
242530,376672,W01000006
242613,71356,E01018754
242657,69061,E01018756
242748,58567,E01018791
242772,99351,E01020290
242898,51296,E01018781
242950,54988,E01018800
242969,59089,E01018793
243090,105725,E01020289
243142,82030,E01020325
243211,200990,W01000711
243214,71346,E01018755
243281,128991,E01020310
243311,244709,W01000522
243389,392776,W01000004
243402,365952,W01000038
243510,55344,E01018799
243625,55072,E01018798
243824,201383,W01000710
243845,54865,E01018797
243882,125947,E01020283
243882,224038,W01000624
243921,58168,E01015142
243992,111455,E01020301
244075,339181,W01000089
244094,126830,E01020281
244104,129267,E01020299
244388,57799,E01015146
244391,58472,E01015150
244397,57444,E01015145
244401,126076,E01020285
244477,392954,W01000003
244535,235772,W01000685
244663,76340,E01020331
244665,201226,W01000632
244679,66822,E01020313
244742,58130,E01015144
244784,66575,E01020312
244801,200738,W01000633
244928,58435,E01015149
244939,126252,E01020284
244972,129212,E01020297
245028,122496,E01020296
245037,139361,E01020109
245043,127674,E01020300
245064,128743,E01020298
245077,58865,E01015147
245109,127143,E01020282
245169,60054,E01015082
245194,56873,E01015039
245197,126580,E01020280
245203,54852,E01015046
245247,58162,E01015143
245250,55729,E01015043
245268,57831,E01015076
245272,204565,W01000729
245308,129607,E01020276
245313,201231,W01000634
245338,56546,E01015041
245366,54472,E01015048
245377,55342,E01015045
245419,204475,W01000730
245429,59776,E01015083
245470,56220,E01015042
245479,57318,E01015075
245493,390069,W01000021
245523,54279,E01015047
245546,376150,W01000014
245554,375614,W01000012
245619,55712,E01015044
245673,56649,E01015040
245675,58607,E01015148
245794,56070,E01015167
245806,57057,E01015080
245828,59758,E01015084
245836,262790,W01000506
245880,55501,E01015171
245978,56192,E01015168
246045,126256,E01020277
246068,57653,E01015073
246092,187867,W01000775
246159,57001,E01015078
246174,59341,E01015085
246241,126319,E01020279
246248,55259,E01015173
246284,58902,E01015087
246305,55727,E01015170
246306,130496,E01020275
246325,207824,W01000695
246327,210703,W01000696
246338,56716,E01015072
246366,56119,E01015174
246375,60369,E01015024
246389,53936,E01015157
246581,59234,E01015088
246608,57319,E01015079
246623,375837,W01000041
246649,54502,E01015155
246651,60071,E01015026
246669,55149,E01015172
246768,56502,E01015106
246782,259971,W01000524
246793,125760,E01020278
246820,351596,W01000086
246821,56915,E01015104
246951,54836,E01015153
246996,58466,E01015081
247008,143801,E01020108
247015,60027,E01015028
247049,59017,E01015089
247078,57743,E01015074
247078,353161,W01000104
247174,61489,E01015165
247207,73681,E01020334
247209,55407,E01015169
247276,54753,E01015152
247284,57206,E01015102
247355,55000,E01015151
247380,54038,E01015158
247407,355806,W01000073
247465,59665,E01015030
247569,60766,E01015163
247574,57721,E01015077
247596,74728,E01020333
247636,59025,E01015086
247688,57155,E01015103
247704,137101,E01020091
247773,56310,E01015099
247829,58563,E01015070
247893,55322,E01015051
247919,56795,E01015105
247947,238917,W01000686
247955,379576,W01000020
247971,208282,W01000662
248002,55726,E01015049
248030,59432,E01015023
248032,74533,E01020332
248040,54112,E01015156
248045,60965,E01015161
248120,56467,E01015098
248162,56169,E01015100
248162,129714,E01020119
248184,136816,E01020092
248189,57200,E01015101
248197,54387,E01032658
248200,55420,E01015050
248230,60611,E01015162
248248,54945,E01015054
248259,360024,W01000054
248270,58365,E01015071
248302,362333,W01000111
248316,73777,E01020335
248318,367416,W01000027
248328,371854,W01000025
248361,201072,W01001925
248385,363225,W01000093
248388,72906,E01020338
248434,54609,E01032657
248465,54978,E01015053
248469,55823,E01015032
248470,55270,E01015052
248554,136390,E01020093
248570,59965,E01015027
248609,56573,E01015034
248653,57468,E01015033
248737,55585,E01015062
248744,361938,W01000110
248771,73120,E01020336
248776,362553,W01000098
248800,55937,E01015031
248822,58842,E01015029
248832,363118,W01000059
248847,58249,E01015064
248898,74411,E01020337
248912,54828,E01015179
248940,136223,E01020089
248946,60944,E01015159
249019,56845,E01015036
249021,55094,E01015178
249054,353336,W01000112
249115,61363,E01015166
249134,119255,E01020304
249172,55582,E01015061
249189,54508,E01015181
249201,191137,W01000776
249236,56271,E01015038
249254,131880,E01020106
249292,54167,E01015182
249301,60328,E01015025
249306,137042,E01020090
249314,55294,E01015175
249346,58061,E01015065
249369,68199,E01020315
249409,55004,E01015177
249450,57468,E01015066
249515,52598,E01015138
249555,357723,W01000088
249603,54560,E01015180
249630,119111,E01020305
249650,55740,E01015060
249660,56638,E01015037
249710,57036,E01015035
249732,201107,W01000667
249751,60922,E01015160
249785,56350,E01015058
249786,211626,W01000717
249834,55156,E01015176
249862,338158,W01000061
250020,55946,E01015059
250064,61872,E01015164
250088,119431,E01020307
250096,52403,E01015139
250122,57707,E01015067
250216,53335,E01015137
250243,200856,W01000653
250244,79532,E01020324
250251,200179,W01000654
250255,56159,E01015057
250258,199422,W01000660
250274,112391,E01020287
250320,58158,E01015068
250321,134835,E01020110
250397,57364,E01015069
250415,199798,W01000732
250460,119278,E01020306
250471,246481,W01000541
250498,59448,E01015092
250599,60700,E01015097
250673,211412,W01000716
250680,56864,E01015063
250691,49292,E01020186
250699,56140,E01015056
250706,132205,E01020105
250759,59183,E01015093
250777,90218,E01020314
250791,199944,W01000733
250861,52444,E01015141
250863,59609,E01015090
250882,58633,E01015094
250891,53218,E01015136
250911,67397,E01020316
250919,200762,W01000703
250940,199590,W01000734
250952,53682,E01015135
250970,61519,E01020146
250980,199149,W01000659
251001,56429,E01015055
251033,386284,W01000032
251103,216643,W01000675
251114,342804,W01000066
251130,69946,E01020341
251140,58082,E01015095
251147,61393,E01020144
251190,200324,W01000629
251237,201473,W01000704
251272,382588,W01000010
251279,146858,E01020118
251315,58029,E01015096
251353,69718,E01020342
251392,53557,E01015134
251395,132262,E01020107
251422,200139,W01000630
251430,198927,W01001924
251437,52586,E01015140
251448,201051,W01000705
251453,266962,W01000540
251455,222210,W01000682
251526,147554,E01020113
251530,52082,E01015130
251533,199616,W01000631
251558,198958,W01001923
251596,58919,E01015091
251636,147034,E01020116
251713,201966,W01000655
251729,146522,E01020117
251864,147357,E01020111
251915,382149,W01000019
251934,52004,E01015129
252003,147642,E01020112
252008,52979,E01015126
252062,200351,W01000628
252069,53552,E01015132
252182,201299,W01000652
252245,62024,E01020145
252270,52383,E01015128
252294,202945,W01000726
252373,359514,W01000118
252379,147476,E01020114
252398,367422,W01000119
252462,202635,W01000727
252473,56939,E01015118
252507,243761,W01000702
252589,53329,E01015133
252596,365461,W01000052
252652,49374,E01020185
252776,201214,W01000651
252792,195039,W01000828
252817,378538,W01000035
252819,56062,E01015113
252872,371938,W01000008
252951,200542,W01000706
252977,56877,E01015122
253003,230211,W01000683
253027,52920,E01015127
253030,147212,E01020115
253073,132487,E01020086
253094,255487,W01000535
253223,57070,E01015120
253312,213374,W01000663
253330,371800,W01000015
253367,199998,W01000708
253375,56004,E01015112
253421,97996,E01020322
253461,131882,E01020085
253461,200492,W01000707
253487,53299,E01015131
253682,363440,W01000087
253693,68753,E01020317
253711,212001,W01000698
253726,132158,E01020084
253729,57157,E01015121
253787,264166,W01000539
253866,56634,E01015123
253906,104293,E01020321
253959,55956,E01015114
254098,362740,W01000053
254106,208714,W01000699
254189,200140,W01000636
254224,132583,E01020123
254251,57278,E01015125
254393,132124,E01020125
254532,56577,E01015124
254562,199379,W01000635
254616,195625,W01000829
254822,55585,E01015115
254991,48105,E01020171
254997,132422,E01020124
255052,52060,E01020187
255058,56236,E01015108
255232,200930,W01000691
255239,372584,W01000042
255256,188119,W01000840
255354,133931,E01020132
255384,55501,E01015116
255492,56951,E01015119
255533,56531,E01015110
255540,212392,W01000697
255559,269464,W01000538
255604,372062,W01000011
255609,370255,W01000102
255682,56162,E01015107
255761,55321,E01015117
255863,201615,W01000690
255948,55879,E01015109
255986,134295,E01020133
256036,133997,E01020134
256112,133802,E01020139
256129,133149,E01020094
256219,364434,W01000099
256229,133453,E01020095
256251,56365,E01015111
256251,340271,W01000107
256291,202082,W01000692
256377,338135,W01000106
256446,132834,E01020096
256541,130055,E01020122
256542,369399,W01000103
256554,132425,E01020130
256572,138318,E01020127
256709,371397,W01000072
256734,370789,W01000064
256755,213791,W01000664
256762,339007,W01000105
256780,374060,W01000013
256822,133694,E01020141
256839,131877,E01020128
256888,132209,E01020129
256906,189184,W01000839
256928,133264,E01020140
256961,194243,W01000772
257031,198048,W01000802
257121,132818,E01020103
257154,112478,E01020303
257184,146924,E01020099
257243,371390,W01000075
257366,372058,W01000092
257467,198314,W01000878
257537,248466,W01000528
257612,132612,E01020104
257739,360161,W01000081
257794,363079,W01000063
257836,203619,W01000666
257916,198344,W01000877
257926,51614,E01020190
257941,248204,W01000527
258003,212949,W01000712
258024,371901,W01000062
258048,246138,W01000701
258115,198835,W01000841
258139,281461,W01000517
258150,199485,W01000844
258192,188481,W01000736
258210,331780,W01000074
258211,120598,E01020308
258261,204414,W01000665
258271,300448,W01000116
258277,132635,E01020102
258286,372674,W01000076
258326,281098,W01000518
258396,131616,E01020120
258428,281734,W01000513
258438,198019,W01000785
258459,146624,E01020101
258473,199449,W01000843
258519,300799,W01000117
258525,327336,W01000079
258610,56876,E01020149
258623,372543,W01000077
258657,196500,W01000778
258674,73971,E01020323
258678,196070,W01000779
258712,94703,E01020329
258718,323110,W01000069
258733,217468,W01000684
258742,188925,W01000737
258755,371539,W01000090
258759,198768,W01000774
258789,95100,E01020330
258802,282144,W01001934
258827,213235,W01000713
258828,198122,W01000784
258899,192393,W01000771
258919,193747,W01000769
258919,211471,W01000724
258973,372060,W01000091
259023,281718,W01000512
259033,280286,W01000515
259143,278007,W01000534
259195,200676,W01000842
259252,203697,W01000846
259308,198553,W01000773
259360,196029,W01000777
259399,95292,E01020328
259481,280070,W01000516
259569,193790,W01000768
259603,95551,E01020327
259639,204143,W01000847
259692,280844,W01001935
259767,193125,W01000782
259775,197658,W01000786
259775,203196,W01000845
259884,281891,W01001936
259897,145991,E01020100
259925,203948,W01000848
259975,130967,E01020121
260042,193661,W01000770
260053,195424,W01000759
260192,188229,W01000823
260231,251880,W01000537
260254,376196,W01000005
260340,102125,E01020320
260444,188938,W01000879
260470,367730,W01000115
260505,187790,W01000824
260507,193370,W01000781
260510,370546,W01000050
260528,59452,E01020148
260579,281840,W01000525
260615,189567,W01000882
260628,190356,W01000805
260643,210468,W01000731
260780,316467,W01000048
260785,338765,W01000101
260789,195283,W01000756
260844,193465,W01001956
260929,198809,W01000838
261001,288985,W01001937
261031,379553,W01000026
261075,188916,W01000880
261083,200923,W01000792
261183,312053,W01000085
261226,188035,W01000827
261230,339612,W01000100
261291,189617,W01000881
261346,212155,W01000725
261347,315821,W01000049
261412,190236,W01000804
261460,192754,W01000856
261607,187940,W01000825
261720,215165,W01000681
261732,193376,W01000855
261791,192392,W01000859
261834,191646,W01000860
261917,193896,W01000854
261994,187433,W01000826
262074,366980,W01000097
262079,196277,W01000760
262106,198736,W01000837
262180,192983,W01000857
262191,284822,W01000548
262196,56252,E01020167
262376,193451,W01000853
262387,214463,W01000680
262406,199912,W01000793
262455,56548,E01020165
262506,211659,W01000625
262652,192231,W01000861
262656,366597,W01000096
262679,213035,W01000714
262714,367073,W01000071
262792,212409,W01000626
262817,56287,E01020166
262848,52499,E01020159
262849,221485,W01000676
262883,192998,W01000858
262911,300280,W01001933
262925,222535,W01000677
263020,194459,W01000758
263033,274943,W01000552
263067,195307,W01000757
263160,108225,E01020311
263220,197108,W01000836
263246,195950,W01000761
263264,193617,W01000868
263278,196259,W01000831
263304,193060,W01000872
263318,56029,E01020161
263402,196690,W01000830
263512,211519,W01000627
263541,258474,W01000536
263576,194233,W01000863
263617,192368,W01000876
263628,193896,W01000865
263664,226910,W01000709
263689,193030,W01000870
263702,192722,W01000874
263793,195106,W01000755
263821,196466,W01000832
263869,56362,E01020164
263909,192462,W01000873
263924,124339,E01020097
263979,195537,W01000762
264134,55930,E01020163
264150,137667,E01020088
264158,193687,W01000867
264173,194228,W01000862
264215,192540,W01000875
264218,193124,W01000869
264240,212582,W01000715
264347,195877,W01000835
264490,56297,E01020162
264571,192928,W01000871
264605,194894,W01000764
264635,193800,W01000866
264692,192459,W01000749
264692,195256,W01000767
264749,240655,W01000650
264767,284180,W01000549
264790,196194,W01000833
264803,196845,W01000834
264814,193159,W01000747
264921,194154,W01000864
264949,93676,E01020339
265015,198585,W01000791
265017,193007,W01000745
265042,195486,W01000766
265131,193565,W01000746
265189,196860,W01000820
265192,192538,W01001957
265254,195044,W01000763
265351,195477,W01000765
265364,196186,W01000821
265417,194080,W01000744
265505,194524,W01000742
265559,198099,W01000817
265606,193423,W01001955
265658,197095,W01000819
265661,197593,W01000818
265682,195457,W01000789
265739,290174,W01000523
265864,192482,W01001938
265872,194458,W01000790
265873,195762,W01000788
265896,51721,E01020158
265919,198599,W01000822
266205,192545,W01001958
266237,196410,W01000787
266356,101695,E01020326
266429,193704,W01000851
266440,197884,W01000811
266556,193256,W01000850
266615,198297,W01000813
266658,200082,W01000816
266702,199121,W01000808
266784,197278,W01000814
266831,56958,E01020160
266893,213391,W01000657
266955,47230,E01020147
267003,199209,W01000810
267032,197761,W01000812
267137,198508,W01000809
267194,199936,W01000807
267249,195130,W01000739
267275,193295,W01000852
267353,202934,W01000803
267456,199365,W01000806
267493,213680,W01000658
267904,193360,W01000849
267919,195436,W01000738
267996,200179,W01000815
268006,259832,W01000550
268241,196080,W01000741
268274,374633,W01000123
268470,201417,W01000752
268635,114508,E01020098
268655,374641,W01000170
268750,197707,W01000794
268761,213309,W01000656
268784,43469,E01020179
268824,196174,W01000740
268945,202137,W01000753
269036,201550,W01000754
269173,196768,W01000799
269443,202082,W01000750
269584,197015,W01000798
269609,198856,W01000796
269630,345771,W01000056
269919,60213,E01020176
269969,197087,W01000797
270042,279528,W01000543
270082,87573,E01020318
270128,59807,E01020177
270145,201777,W01000751
270173,200170,W01000800
270189,92024,E01020319
270275,212150,W01000928
270349,345732,W01000065
270512,211005,W01000929
270527,344266,W01000113
270564,198027,W01000801
270628,267885,W01000542
270687,106226,E01020072
270711,335839,W01000114
270753,213250,W01000931
270771,197768,W01000795
270972,125694,E01020136
270972,202634,W01000971
271016,232777,W01000647
271029,39610,E01020172
271282,227859,W01000687
271303,214298,W01000718
271374,125517,E01020135
271472,196736,W01000917
271501,376155,W01000172
271596,125947,E01020137
271676,197394,W01000916
271748,204892,W01000947
271866,149287,E01020126
272090,376367,W01000171
272148,204134,W01000948
272362,196620,W01000914
272391,101517,E01020076
272514,78642,E01020259
272525,203335,W01000888
272642,197301,W01000913
272656,197681,W01000915
272812,317935,W01000067
272913,197173,W01000912
272943,204963,W01000946
