WZ11CD,BNGEAST,BNGNORTH,LONGITUDE,LATITUDE
E33019911,406802,286616,-1.901284031,52.4774308
E33019990,413606,293613,-1.800821029,52.54020479
E33019918,408765,289506,-1.87229816,52.50338839
E33019999,408006,295204,-1.883352805,52.55461737
E33019998,408295,296287,-1.879060013,52.56434774
E33021266,390316,300320,-2.144407351,52.60058038
E33021267,389854,299842,-2.151226048,52.59627179
E33021264,395256,299795,-2.071468916,52.59593118
E33021265,390827,300317,-2.136867278,52.60056595
E33021262,394325,299234,-2.085195671,52.59087733
E33021263,394561,300440,-2.081737678,52.60172066
E33021260,392333,300364,-2.114638265,52.60100764
E33021261,394816,300260,-2.077967162,52.60010017
E33021476,360599,224365,-2.574261164,51.91640629
E33021477,359582,223456,-2.588941366,51.90816331
E33021474,352560,238360,-2.693068458,52.04159393
E33021475,344909,223727,-2.802258918,51.90933976
E33021472,341409,229291,-2.854082347,51.9590042
E33021473,342010,236102,-2.846491583,52.02029183
E33021268,387611,300041,-2.184341772,52.59801795
E33021470,352397,237925,-2.695394573,52.03767565
E33021269,387176,300869,-2.190793387,52.60544989
E33021471,347806,232940,-2.761544091,51.99244029
E33021646,391298,347286,-2.131178847,53.02279222
E33021647,388057,346835,-2.179488627,53.01867883
E33021644,390530,346395,-2.142598461,53.01477689
E33021645,390004,347243,-2.150470628,53.02238529
E33021642,390513,347192,-2.142881962,53.02193336
E33021643,390552,347574,-2.142308128,53.02537543
E33021640,388633,347837,-2.170938338,53.02769946
E33021478,360340,225209,-2.578128925,51.92397885
E33021641,390233,346648,-2.147042732,53.01704574
E33021479,360073,224237,-2.581891044,51.91521979
E33022046,423867,323493,-1.647384677,52.8084645
E33022047,424170,323457,-1.642883007,52.80812097
E33022044,424056,323799,-1.6445509,52.81120413
E33022045,424413,323901,-1.639245628,52.81210369
E33022042,424428,324222,-1.638995282,52.81499464
E33022043,423150,323480,-1.6580114,52.80837373
E33022040,424577,324318,-1.636780342,52.8158436
E33021648,386960,347164,-2.195845675,53.02161341
